"species","year","country","mean"
"Aeshna_affinis",2006,"Ireland",0.0012
"Aeshna_affinis",2006,"Isle of Man",0.00011
"Aeshna_affinis",2006,"Italy",0.23541
"Aeshna_affinis",2006,"Luxembourg",0.11007
"Aeshna_affinis",2006,"Netherlands",0.03242
"Aeshna_affinis",2006,"Norway",0.00042
"Aeshna_affinis",2006,"Portugal",0.15147
"Aeshna_affinis",2006,"Slovenia",0.33605
"Aeshna_affinis",2006,"Spain",0.13357
"Aeshna_affinis",2006,"Sweden",0.00243
"Aeshna_affinis",2006,"Switzerland",0.10668
"Aeshna_affinis",2006,"United Kingdom",0.00535
"Aeshna_affinis",2006,"All",0.12586
"Aeshna_affinis",2007,"Austria",0.0477
"Aeshna_affinis",2007,"Belgium",0.02838
"Aeshna_affinis",2007,"Cyprus",0.00214
"Aeshna_affinis",2007,"Czechia",0.15729
"Aeshna_affinis",2007,"Denmark",0.00886
"Aeshna_affinis",2007,"Finland",0.00035
"Aeshna_affinis",2007,"France",0.23376
"Aeshna_affinis",2007,"Ireland",0.00058
"Aeshna_affinis",2007,"Isle of Man",4e-05
"Aeshna_affinis",2007,"Italy",0.14394
"Aeshna_affinis",2007,"Luxembourg",0.04953
"Aeshna_affinis",2007,"Netherlands",0.01494
"Aeshna_affinis",2007,"Norway",0.00017
"Aeshna_affinis",2007,"Portugal",0.08506
"Aeshna_affinis",2007,"Slovenia",0.2302
"Aeshna_affinis",2007,"Spain",0.07172
"Aeshna_affinis",2007,"Sweden",0.00107
"Aeshna_affinis",2007,"Switzerland",0.06417
"Aeshna_affinis",2007,"United Kingdom",0.00325
"Aeshna_affinis",2007,"All",0.07994
"Aeshna_affinis",2008,"Austria",0.04744
"Aeshna_affinis",2008,"Belgium",0.02924
"Aeshna_affinis",2008,"Cyprus",0.00214
"Aeshna_affinis",2008,"Czechia",0.15653
"Aeshna_affinis",2008,"Denmark",0.00889
"Aeshna_affinis",2008,"Finland",0.00035
"Aeshna_affinis",2008,"France",0.22919
"Aeshna_affinis",2008,"Ireland",0.00057
"Aeshna_affinis",2008,"Isle of Man",4e-05
"Aeshna_affinis",2008,"Italy",0.14138
"Aeshna_affinis",2008,"Luxembourg",0.04491
"Aeshna_affinis",2008,"Netherlands",0.01566
"Aeshna_affinis",2008,"Norway",0.00017
"Aeshna_affinis",2008,"Portugal",0.08392
"Aeshna_affinis",2008,"Slovenia",0.23188
"Aeshna_affinis",2008,"Spain",0.07104
"Aeshna_affinis",2008,"Sweden",0.00107
"Aeshna_affinis",2008,"Switzerland",0.06281
"Aeshna_affinis",2008,"United Kingdom",0.00345
"Aeshna_affinis",2008,"All",0.07871
"Aeshna_affinis",2009,"Austria",0.06626
"Aeshna_affinis",2009,"Belgium",0.04711
"Aeshna_affinis",2009,"Cyprus",0.00347
"Aeshna_affinis",2009,"Czechia",0.20188
"Aeshna_affinis",2009,"Denmark",0.01422
"Aeshna_affinis",2009,"Finland",0.00057
"Aeshna_affinis",2009,"France",0.27962
"Aeshna_affinis",2009,"Ireland",0.00086
"Aeshna_affinis",2009,"Isle of Man",7e-05
"Aeshna_affinis",2009,"Italy",0.18405
"Aeshna_affinis",2009,"Luxembourg",0.06304
"Aeshna_affinis",2009,"Netherlands",0.02613
"Aeshna_affinis",2009,"Norway",0.00028
"Aeshna_affinis",2009,"Portugal",0.1133
"Aeshna_affinis",2009,"Slovenia",0.29378
"Aeshna_affinis",2009,"Spain",0.10025
"Aeshna_affinis",2009,"Sweden",0.0017
"Aeshna_affinis",2009,"Switzerland",0.08224
"Aeshna_affinis",2009,"United Kingdom",0.00502
"Aeshna_affinis",2009,"All",0.10076
"Aeshna_affinis",2010,"Austria",0.08837
"Aeshna_affinis",2010,"Belgium",0.07168
"Aeshna_affinis",2010,"Cyprus",0.00522
"Aeshna_affinis",2010,"Czechia",0.25026
"Aeshna_affinis",2010,"Denmark",0.02163
"Aeshna_affinis",2010,"Finland",0.00089
"Aeshna_affinis",2010,"France",0.33038
"Aeshna_affinis",2010,"Ireland",0.00121
"Aeshna_affinis",2010,"Isle of Man",0.00011
"Aeshna_affinis",2010,"Italy",0.2306
"Aeshna_affinis",2010,"Luxembourg",0.08416
"Aeshna_affinis",2010,"Netherlands",0.04135
"Aeshna_affinis",2010,"Norway",0.00043
"Aeshna_affinis",2010,"Portugal",0.14911
"Aeshna_affinis",2010,"Slovenia",0.35586
"Aeshna_affinis",2010,"Spain",0.13423
"Aeshna_affinis",2010,"Sweden",0.00259
"Aeshna_affinis",2010,"Switzerland",0.10397
"Aeshna_affinis",2010,"United Kingdom",0.00741
"Aeshna_affinis",2010,"All",0.12469
"Aeshna_affinis",2011,"Austria",0.03753
"Aeshna_affinis",2011,"Belgium",0.02506
"Aeshna_affinis",2011,"Cyprus",0.00148
"Aeshna_affinis",2011,"Czechia",0.12938
"Aeshna_affinis",2011,"Denmark",0.00687
"Aeshna_affinis",2011,"Finland",0.00025
"Aeshna_affinis",2011,"France",0.18449
"Aeshna_affinis",2011,"Ireland",0.00043
"Aeshna_affinis",2011,"Isle of Man",3e-05
"Aeshna_affinis",2011,"Italy",0.10969
"Aeshna_affinis",2011,"Luxembourg",0.0253
"Aeshna_affinis",2011,"Netherlands",0.01408
"Aeshna_affinis",2011,"Norway",0.00012
"Aeshna_affinis",2011,"Portugal",0.06588
"Aeshna_affinis",2011,"Slovenia",0.204
"Aeshna_affinis",2011,"Spain",0.05419
"Aeshna_affinis",2011,"Sweden",0.00083
"Aeshna_affinis",2011,"Switzerland",0.04932
"Aeshna_affinis",2011,"United Kingdom",0.00355
"Aeshna_affinis",2011,"All",0.06266
"Aeshna_affinis",2012,"Austria",0.03575
"Aeshna_affinis",2012,"Belgium",0.02513
"Aeshna_affinis",2012,"Cyprus",0.00137
"Aeshna_affinis",2012,"Czechia",0.12452
"Aeshna_affinis",2012,"Denmark",0.00663
"Aeshna_affinis",2012,"Finland",0.00024
"Aeshna_affinis",2012,"France",0.17456
"Aeshna_affinis",2012,"Ireland",0.00041
"Aeshna_affinis",2012,"Isle of Man",3e-05
"Aeshna_affinis",2012,"Italy",0.10321
"Aeshna_affinis",2012,"Luxembourg",0.02193
"Aeshna_affinis",2012,"Netherlands",0.01441
"Aeshna_affinis",2012,"Norway",0.00011
"Aeshna_affinis",2012,"Portugal",0.06259
"Aeshna_affinis",2012,"Slovenia",0.19963
"Aeshna_affinis",2012,"Spain",0.05108
"Aeshna_affinis",2012,"Sweden",8e-04
"Aeshna_affinis",2012,"Switzerland",0.04687
"Aeshna_affinis",2012,"United Kingdom",0.00372
"Aeshna_affinis",2012,"All",0.05937
